Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-perfect-tee,The Perfect Tee,<p>Best V Ever</p>,The Perfect Jean,T-Shirt,"",false,Size,XS,Color,BLACK,,,JT9S5BLK-XS,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664332,,,,false,,,,,,,,,,,,,,,,,lb,,,draft
the-perfect-tee,,,,,,,,L,,BLACK,,,JT9S5BLK-L,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664363,,,,,,,,,,,,,,,,,,,,,lb,,,
the-perfect-tee,,,,,,,,M,,BLACK,,,JT9S5BLK-M,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664356,,,,,,,,,,,,,,,,,,,,,lb,,,
the-perfect-tee,,,,,,,,S,,BLACK,,,JT9S5BLK-S,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664349,,,,,,,,,,,,,,,,,,,,,lb,,,
the-perfect-tee,,,,,,,,XL,,BLACK,,,JT9S5BLK-XL,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664370,,,,,,,,,,,,,,,,,,,,,lb,,,
the-perfect-tee,,,,,,,,XXL,,BLACK,,,JT9S5BLK-XXL,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664387,,,,,,,,,,,,,,,,,,,,,lb,,,
the-perfect-tee,,,,,,,,L,,NAVY,,,JT9S5NAV-L,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664301,,,,,,,,,,,,,,,,,,,,,lb,,,
the-perfect-tee,,,,,,,,M,,NAVY,,,JT9S5NAV-M,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664295,,,,,,,,,,,,,,,,,,,,,lb,,,
the-perfect-tee,,,,,,,,S,,NAVY,,,JT9S5NAV-S,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664288,,,,,,,,,,,,,,,,,,,,,lb,,,
the-perfect-tee,,,,,,,,XL,,NAVY,,,JT9S5NAV-XL,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664318,,,,,,,,,,,,,,,,,,,,,lb,,,
the-perfect-tee,,,,,,,,XS,,NAVY,,,JT9S5NAV-XS,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664271,,,,,,,,,,,,,,,,,,,,,lb,,,
the-perfect-tee,,,,,,,,XXL,,NAVY,,,JT9S5NAV-XXL,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664325,,,,,,,,,,,,,,,,,,,,,lb,,,
the-perfect-tee,,,,,,,,L,,WHITE,,,JT9S5WHT-L,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664240,,,,,,,,,,,,,,,,,,,,,lb,,,
the-perfect-tee,,,,,,,,M,,WHITE,,,JT9S5WHT-M,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664233,,,,,,,,,,,,,,,,,,,,,lb,,,
the-perfect-tee,,,,,,,,S,,WHITE,,,JT9S5WHT-S,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664226,,,,,,,,,,,,,,,,,,,,,lb,,,
the-perfect-tee,,,,,,,,XL,,WHITE,,,JT9S5WHT-XL,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664257,,,,,,,,,,,,,,,,,,,,,lb,,,
the-perfect-tee,,,,,,,,XS,,WHITE,,,JT9S5WHT-XS,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664219,,,,,,,,,,,,,,,,,,,,,lb,,,
the-perfect-tee,,,,,,,,XXL,,WHITE,,,JT9S5WHT-XXL,0.0,masonhub,deny,masonhub,40.00,40.00,true,true,'194051664264,,,,,,,,,,,,,,,,,,,,,lb,,,
jorts-werewolf,Jorts / Werewolf,"<p><span data-mce-fragment=""1"">At a 10 inch inseam, our jort sits just above the knee while unrolled. However, if you wanna show off those sexy thighs, just roll em' on up to your desired length ... Anything longer than a jong (""jean thong"") and we're gravy.</span><br></p>
<p>The werewolf is black with a light black wash and matte black hardware.  A final touch: black tape and navy stitching makes this our darkest wash ever.  Howl. </p>",The Perfect Jean,Shorts,"meta-size-chart-size-guide-jort, Split",true,Color,Werewolf - Black,Waist Size,28,,,JS9T2BWWF-28,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620246,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/werewolf1.jpg?v=1622771748,1,,false,,,,,,,,,,,,,,,,,lb,,,active
jorts-werewolf,,,,,,,,Werewolf - Black,,29,,,JS9T2BWWF-29,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620253,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/werewolf7.jpg?v=1622771752,2,,,,,,,,,,,,,,,,,,,lb,,,
jorts-werewolf,,,,,,,,Werewolf - Black,,30,,,JS9T2BWWF-30,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620260,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/werewolf8.jpg?v=1622771754,3,,,,,,,,,,,,,,,,,,,lb,,,
jorts-werewolf,,,,,,,,Werewolf - Black,,31,,,JS9T2BWWF-31,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620277,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/werewolf9.jpg?v=1622771757,4,,,,,,,,,,,,,,,,,,,lb,,,
jorts-werewolf,,,,,,,,Werewolf - Black,,32,,,JS9T2BWWF-32,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620284,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/werewolf3.jpg?v=1622771771,5,,,,,,,,,,,,,,,,,,,lb,,,
jorts-werewolf,,,,,,,,Werewolf - Black,,33,,,JS9T2BWWF-33,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620291,,,,,,,,,,,,,,,,,,,,,lb,,,
jorts-werewolf,,,,,,,,Werewolf - Black,,34,,,JS9T2BWWF-34,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620307,,,,,,,,,,,,,,,,,,,,,lb,,,
jorts-werewolf,,,,,,,,Werewolf - Black,,36,,,JS9T2BWWF-36,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620314,,,,,,,,,,,,,,,,,,,,,lb,,,
jorts-werewolf,,,,,,,,Werewolf - Black,,38,,,JS9T2BWWF-38,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620321,,,,,,,,,,,,,,,,,,,,,lb,,,
jorts-werewolf,,,,,,,,Werewolf - Black,,40,,,JS9T2BWWF-40,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620338,,,,,,,,,,,,,,,,,,,,,lb,,,
jorts-werewolf,,,,,,,,Werewolf - Black,,42,,,JS9T2BWWF-42,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620345,,,,,,,,,,,,,,,,,,,,,lb,,,
jorts-joker,Jorts / Joker,"<p>At a 10 inch inseam, our jort sits just above the knee while unrolled. However, if you wanna show off those sexy thighs, just roll em' on up to your desired length ... Anything longer than a jong (""jean thong"") and we're gravy.</p>
<p>The Joker ... light blue with tin colored hardware with contrasting navy tape and red stitching.  Laugh a lot this summer :) </p>",The Perfect Jean,Shorts,"meta-size-chart-size-guide-jort, Split",true,Color,Joker - Light Indigo,Waist Size,28,,,JS9T2LJKR-28,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620604,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/joker12.jpg?v=1622771158,1,,false,,,,,,,,,,,,,,,,,lb,,,active
jorts-joker,,,,,,,,Joker - Light Indigo,,29,,,JS9T2LJKR-29,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620611,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/joker6.jpg?v=1622771168,2,,,,,,,,,,,,,,,,,,,lb,,,
jorts-joker,,,,,,,,Joker - Light Indigo,,30,,,JS9T2LJKR-30,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620628,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/joker9.jpg?v=1622771174,3,,,,,,,,,,,,,,,,,,,lb,,,
jorts-joker,,,,,,,,Joker - Light Indigo,,31,,,JS9T2LJKR-31,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620635,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/joker3.jpg?v=1622771181,4,,,,,,,,,,,,,,,,,,,lb,,,
jorts-joker,,,,,,,,Joker - Light Indigo,,32,,,JS9T2LJKR-32,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620642,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/joker10.jpg?v=1622771212,5,,,,,,,,,,,,,,,,,,,lb,,,
jorts-joker,,,,,,,,Joker - Light Indigo,,33,,,JS9T2LJKR-33,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620659,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/joker12_c9649651-771c-431f-ab46-9b17e814fb65.jpg?v=1622771216,6,,,,,,,,,,,,,,,,,,,lb,,,
jorts-joker,,,,,,,,Joker - Light Indigo,,34,,,JS9T2LJKR-34,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620666,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/joker7.jpg?v=1622771222,7,,,,,,,,,,,,,,,,,,,lb,,,
jorts-joker,,,,,,,,Joker - Light Indigo,,36,,,JS9T2LJKR-36,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620673,,,,,,,,,,,,,,,,,,,,,lb,,,
jorts-joker,,,,,,,,Joker - Light Indigo,,38,,,JS9T2LJKR-38,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620680,,,,,,,,,,,,,,,,,,,,,lb,,,
jorts-joker,,,,,,,,Joker - Light Indigo,,40,,,JS9T2LJKR-40,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620697,,,,,,,,,,,,,,,,,,,,,lb,,,
jorts-joker,,,,,,,,Joker - Light Indigo,,42,,,JS9T2LJKR-42,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620703,,,,,,,,,,,,,,,,,,,,,lb,,,
jorts-joker,,,,,,,,Joker - Light Indigo,,44,,,JSXT2LJKR-44,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051621298,,,,,,,,,,,,,,,,,,,,,lb,,,
jorts-joker,,,,,,,,Joker - Light Indigo,,46,,,JSXT2LJKR-46,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051621304,,,,,,,,,,,,,,,,,,,,,lb,,,
jorts-joker,,,,,,,,Joker - Light Indigo,,48,,,JSXT2LJKR-48,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051621311,,,,,,,,,,,,,,,,,,,,,lb,,,
jorts-joker,,,,,,,,Joker - Light Indigo,,50,,,JSXT2LJKR-50,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051621328,,,,,,,,,,,,,,,,,,,,,lb,,,
jorts-bandit,Jorts / Bandit,"<p><meta charset=""utf-8""><span data-mce-fragment=""1"">At a 10 inch inseam, our jort sits just above the knee while unrolled. However, if you wanna show off those sexy thighs, just roll em' on up to your desired length ... Anything longer than a jong (""jean thong"") and we're gravy.</span></p>
<p><span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Bandit.  Dark black (as sin) with even darker matte black hardware and black tape with navy stitching if you choose to roll 'em up (your call bad boy). </span></p>",The Perfect Jean,Shorts,"meta-size-chart-size-guide-jort, Split",true,Color,Bandit - Black,Waist Size,28,,,JS9T2BBDT-28,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620079,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/bandit1.jpg?v=1622770551,1,,false,,,,,,,,,,,,,,,,,lb,,,active
jorts-bandit,,,,,,,,Bandit - Black,,29,,,JS9T2BBDT-29,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620086,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/bandit9.jpg?v=1622770581,2,,,,,,,,,,,,,,,,,,,lb,,,
jorts-bandit,,,,,,,,Bandit - Black,,30,,,JS9T2BBDT-30,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620093,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/bandit7.jpg?v=1622770581,3,,,,,,,,,,,,,,,,,,,lb,,,
jorts-bandit,,,,,,,,Bandit - Black,,31,,,JS9T2BBDT-31,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620109,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/bandit4.jpg?v=1622770581,4,,,,,,,,,,,,,,,,,,,lb,,,
jorts-bandit,,,,,,,,Bandit - Black,,32,,,JS9T2BBDT-32,0.0,masonhub,deny,masonhub,54.00,,true,true,'194051620116,https://cdn.shopify.com/s/files/1/0259/7588/1814/products/bandit5.jpg?v=1622770581,5,,,,,,,,,,,,,,,,,,,lb,,,
